,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
88,3507753,BREJO ALEGRE,-21.1651,-50.1861,0,35,792,18,America/Sao_Paulo
89,3507803,BRODOWSKI,-20.9845,-47.6572,0,35,6257,16,America/Sao_Paulo
90,3507902,BROTAS,-22.2795,-48.1251,0,35,6259,14,America/Sao_Paulo
91,3508009,BURI,-23.7977,-48.5958,0,35,6261,15,America/Sao_Paulo
92,3508108,BURITAMA,-21.0661,-50.1475,0,35,6263,18,America/Sao_Paulo
93,3508207,BURITIZAL,-20.1911,-47.7096,0,35,6265,16,America/Sao_Paulo
94,3508306,CABRALIA PAULISTA,-22.4576,-49.3393,0,35,6267,14,America/Sao_Paulo
95,3508405,CABREUVA,-23.3053,-47.1362,0,35,6269,11,America/Sao_Paulo
96,3508504,CACAPAVA,-23.0992,-45.7076,0,35,6271,12,America/Sao_Paulo
97,3508603,CACHOEIRA PAULISTA,-22.6665,-45.0154,0,35,6273,12,America/Sao_Paulo
98,3508702,CACONDE,-21.528,-46.6437,0,35,6275,19,America/Sao_Paulo
99,3508801,CAFELANDIA,-21.8031,-49.6092,0,35,6277,14,America/Sao_Paulo
100,3508900,CAIABU,-22.0127,-51.2394,0,35,6279,18,America/Sao_Paulo
101,3509007,CAIEIRAS,-23.3607,-46.7397,0,35,6281,11,America/Sao_Paulo
102,3509106,CAIUA,-21.8322,-51.9969,0,35,6283,18,America/Sao_Paulo
103,3509205,CAJAMAR,-23.355,-46.8781,0,35,6285,11,America/Sao_Paulo
104,3509254,CAJATI,-24.7324,-48.1223,0,35,2967,13,America/Sao_Paulo
105,3509304,CAJOBI,-20.8773,-48.8063,0,35,6287,17,America/Sao_Paulo
106,3509403,CAJURU,-21.2749,-47.303,0,35,6289,16,America/Sao_Paulo
107,3509452,CAMPINA DO MONTE ALEGRE,-23.5895,-48.4758,0,35,2999,15,America/Sao_Paulo
108,3509502,CAMPINAS,-22.9053,-47.0659,0,35,6291,19,America/Sao_Paulo
109,3509601,CAMPO LIMPO PAULISTA,-23.2078,-46.7889,0,35,6293,11,America/Sao_Paulo
110,3509700,CAMPOS DO JORDAO,-22.7296,-45.5833,0,35,6295,12,America/Sao_Paulo
111,3509809,CAMPOS NOVOS PAULISTA,-22.602,-49.9987,0,35,6297,14,America/Sao_Paulo
112,3509908,CANANEIA,-25.0144,-47.9341,0,35,6299,13,America/Sao_Paulo
113,3509957,CANAS,-22.7003,-45.0521,0,35,794,12,America/Sao_Paulo
114,3510005,CANDIDO MOTA,-22.7471,-50.3873,0,35,6301,18,America/Sao_Paulo
115,3510104,CANDIDO RODRIGUES,-21.3275,-48.6327,0,35,6303,16,America/Sao_Paulo
116,3510153,CANITAR,-23.004,-49.7839,0,35,2947,14,America/Sao_Paulo
117,3510203,CAPAO BONITO,-24.0113,-48.3482,0,35,6305,15,America/Sao_Paulo
118,3510302,CAPELA DO ALTO,-23.4685,-47.7388,0,35,6307,15,America/Sao_Paulo
119,3510401,CAPIVARI,-22.9951,-47.5071,0,35,6309,19,America/Sao_Paulo
120,3510500,CARAGUATATUBA,-23.6125,-45.4125,0,35,6311,12,America/Sao_Paulo
121,3510609,CARAPICUIBA,-23.5235,-46.8407,0,35,6313,11,America/Sao_Paulo
122,3510708,CARDOSO,-20.08,-49.9183,0,35,6315,17,America/Sao_Paulo
123,3510807,CASA BRANCA,-21.7708,-47.0852,0,35,6317,19,America/Sao_Paulo
124,3510906,CASSIA DOS COQUEIROS,-21.2801,-47.1643,0,35,6319,16,America/Sao_Paulo
125,3511003,CASTILHO,-20.8689,-51.4884,0,35,6321,18,America/Sao_Paulo
126,3511102,CATANDUVA,-21.1314,-48.977,0,35,6323,17,America/Sao_Paulo
127,3511201,CATIGUA,-21.0519,-49.0616,0,35,6325,17,America/Sao_Paulo
128,3511300,CEDRAL,-20.9009,-49.2664,0,35,6327,17,America/Sao_Paulo
129,3511409,CERQUEIRA CESAR,-23.038,-49.1655,0,35,6329,14,America/Sao_Paulo
130,3511508,CERQUILHO,-23.1665,-47.7459,0,35,6331,15,America/Sao_Paulo
131,3511607,CESARIO LANGE,-23.226,-47.9545,0,35,6333,15,America/Sao_Paulo
132,3511706,CHARQUEADA,-22.5096,-47.7755,0,35,6335,19,America/Sao_Paulo
133,3557204,CHAVANTES,-23.0366,-49.7096,0,35,6337,14,America/Sao_Paulo
134,3511904,CLEMENTINA,-21.5604,-50.4525,0,35,6339,18,America/Sao_Paulo
135,3512001,COLINA,-20.7114,-48.5387,0,35,6341,17,America/Sao_Paulo
136,3512100,COLOMBIA,-20.1768,-48.6865,0,35,6343,17,America/Sao_Paulo
137,3512209,CONCHAL,-22.3375,-47.1729,0,35,6345,19,America/Sao_Paulo
138,3512308,CONCHAS,-23.0154,-48.0134,0,35,6347,14,America/Sao_Paulo
139,3512407,CORDEIROPOLIS,-22.4778,-47.4519,0,35,6349,19,America/Sao_Paulo
140,3512506,COROADOS,-21.3521,-50.2859,0,35,6351,18,America/Sao_Paulo
141,3512605,CORONEL MACEDO,-23.6261,-49.31,0,35,6353,14,America/Sao_Paulo
142,3512704,CORUMBATAI,-22.2213,-47.6215,0,35,6355,19,America/Sao_Paulo
143,3512803,COSMOPOLIS,-22.6419,-47.1926,0,35,6357,19,America/Sao_Paulo
144,3512902,COSMORAMA,-20.4755,-49.7827,0,35,6359,17,America/Sao_Paulo
145,3513009,COTIA,-23.6022,-46.919,0,35,6361,11,America/Sao_Paulo
146,3513108,CRAVINHOS,-21.338,-47.7324,0,35,6363,16,America/Sao_Paulo
147,3513207,CRISTAIS PAULISTA,-20.4036,-47.4209,0,35,6365,16,America/Sao_Paulo
148,3513306,CRUZALIA,-22.7373,-50.7909,0,35,6367,18,America/Sao_Paulo
149,3513405,CRUZEIRO,-22.5728,-44.969,0,35,6369,12,America/Sao_Paulo
150,3513504,CUBATAO,-23.8911,-46.424,0,35,6371,13,America/Sao_Paulo
151,3513603,CUNHA,-23.0731,-44.9576,0,35,6373,12,America/Sao_Paulo
152,3513702,DESCALVADO,-21.9002,-47.6181,0,35,6375,19,America/Sao_Paulo
153,3513801,DIADEMA,-23.6813,-46.6205,0,35,6377,11,America/Sao_Paulo
154,3513850,DIRCE REIS,-20.4642,-50.6073,0,35,7249,17,America/Sao_Paulo
155,3513900,DIVINOLANDIA,-21.6637,-46.7361,0,35,6379,19,America/Sao_Paulo
156,3514007,DOBRADA,-21.5155,-48.3935,0,35,6381,16,America/Sao_Paulo
157,3514106,DOIS CORREGOS,-22.3673,-48.3819,0,35,6383,14,America/Sao_Paulo
158,3514205,DOLCINOPOLIS,-20.124,-50.5149,0,35,6385,17,America/Sao_Paulo
159,3514304,DOURADO,-22.1044,-48.3178,0,35,6387,16,America/Sao_Paulo
160,3514403,DRACENA,-21.4843,-51.535,0,35,6389,18,America/Sao_Paulo
161,3514502,DUARTINA,-22.4146,-49.4084,0,35,6391,14,America/Sao_Paulo
162,3514601,DUMONT,-21.2324,-47.9756,0,35,6393,16,America/Sao_Paulo
163,3514700,ECHAPORA,-22.4326,-50.2038,0,35,6395,18,America/Sao_Paulo
164,3514809,ELDORADO,-24.5281,-48.1141,0,35,6397,13,America/Sao_Paulo
165,3514908,ELIAS FAUSTO,-23.0428,-47.3682,0,35,6399,19,America/Sao_Paulo
166,3514924,ELISIARIO,-21.1678,-49.1146,0,35,2975,17,America/Sao_Paulo
167,3514957,EMBAUBA,-20.9796,-48.8325,0,35,7251,17,America/Sao_Paulo
168,3515004,EMBU DAS ARTES,-23.6437,-46.8579,0,35,6401,11,America/Sao_Paulo
169,3515103,EMBU-GUACU,-23.8297,-46.8136,0,35,6403,11,America/Sao_Paulo
170,3515129,EMILIANOPOLIS,-21.8314,-51.4832,0,35,2961,18,America/Sao_Paulo
171,3515152,ENGENHEIRO COELHO,-22.4836,-47.211,0,35,2949,19,America/Sao_Paulo
172,3515186,ESPIRITO SANTO DO PINHAL,-22.1909,-46.7477,0,35,6865,19,America/Sao_Paulo
173,3515194,ESPIRITO SANTO DO TURVO,-22.6925,-49.4341,0,35,7253,14,America/Sao_Paulo
174,3557303,ESTIVA GERBI,-22.2713,-46.9481,0,35,2959,19,America/Sao_Paulo
175,3515202,ESTRELA D'OESTE,-20.2875,-50.4049,0,35,6405,17,America/Sao_Paulo
176,3515301,ESTRELA DO NORTE,-22.4859,-51.6632,0,35,6407,18,America/Sao_Paulo
177,3515350,EUCLIDES DA CUNHA PAULISTA,-22.5545,-52.5928,0,35,7255,18,America/Sao_Paulo
178,3515400,FARTURA,-23.3916,-49.5124,0,35,6409,14,America/Sao_Paulo
179,3515608,FERNANDO PRESTES,-21.2661,-48.6874,0,35,6413,16,America/Sao_Paulo
180,3515509,FERNANDOPOLIS,-20.2806,-50.2471,0,35,6411,17,America/Sao_Paulo
181,3515657,FERNAO,-22.3607,-49.5187,0,35,796,14,America/Sao_Paulo
182,3515707,FERRAZ DE VASCONCELOS,-23.5411,-46.371,0,35,6415,11,America/Sao_Paulo
183,3515806,FLORA RICA,-21.6727,-51.3821,0,35,6417,18,America/Sao_Paulo
