,data,nome_feriado,tipo_feriado,descricao_feriado,UF,Cidade
1105,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Ribeirão do Sul 
1106,31/05/2018,Corpus Christi,MUNICIPAL,,SP,Ribeirão Pires 
1107,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Rifaina 
1108,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Rifaina 
1109,24/12/2018,Feriado Municipal,MUNICIPAL,,SP,Rifaina 
1110,20/08/2018,Feriado Municipal,MUNICIPAL,,SP,Rincão 
1111,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,Rio Claro 
1112,10/07/2018,Feriado Municipal,MUNICIPAL,,SP,Rio das Pedras 
1113,06/08/2018,Feriado Municipal,MUNICIPAL,,SP,Rio das Pedras 
1114,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Rio das Pedras 
1115,20/01/2018,Feriado Municipal,MUNICIPAL,,SP,Rio Grande da Serra 
1116,03/05/2018,Feriado Municipal,MUNICIPAL,,SP,Rio Grande da Serra 
1117,26/03/2018,Feriado Municipal,MUNICIPAL,,SP,Riolândia 
1118,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Riolândia 
1119,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Riolândia 
1120,06/08/2018,Feriado Municipal,MUNICIPAL,,SP,Riversul 
1121,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Riversul 
1122,30/12/2018,Feriado Municipal,MUNICIPAL,,SP,Riversul 
1123,02/02/2018,Feriado Municipal,MUNICIPAL,,SP,Rosana 
1124,05/11/2018,Feriado Municipal,MUNICIPAL,,SP,Rosana 
1125,21/03/2018,Feriado Municipal,MUNICIPAL,,SP,Roseira 
1126,26/07/2018,Feriado Municipal,MUNICIPAL,,SP,Roseira 
1127,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Roseira 
1128,24/08/2018,Feriado Municipal,MUNICIPAL,,SP,Rubiácea 
1129,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Rubiácea 
1130,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Rubiácea 
1131,20/01/2018,Feriado Municipal,MUNICIPAL,,SP,Sabino 
1132,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Sabino 
1133,18/02/2018,Feriado Municipal,MUNICIPAL,,SP,Sagres 
1134,30/11/2018,Feriado Municipal,MUNICIPAL,,SP,Sales 
1135,22/05/2018,Feriado Municipal,MUNICIPAL,,SP,Sales Oliveira 
1136,28/02/2018,Feriado Municipal,MUNICIPAL,,SP,Salesópolis 
1137,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Salesópolis 
1138,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,Salmourão 
1139,13/12/2018,Feriado Municipal,MUNICIPAL,,SP,Salmourão 
1140,19/05/2018,Feriado Municipal,MUNICIPAL,,SP,Saltinho 
1141,30/06/2018,Feriado Municipal,MUNICIPAL,,SP,Saltinho 
1142,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,Salto de Pirapora 
1143,30/12/2018,Feriado Municipal,MUNICIPAL,,SP,Salto de Pirapora 
